Company,ForecastNextMonth,BaselineMean,ExpectedIncrease,PctIncrease
Experian Information Solutions Inc.,3164.4848822626077,382.0,2782.4848822626077,728.3991838383789
CAPITAL ONE FINANCIAL CORPORATION,519.4358625769443,85.33333333333333,434.10252924361095,508.7139014573566
TD BANK US HOLDING COMPANY,327.49257917788145,21.333333333333332,306.15924584454814,1435.1214648963196
SYNCHRONY FINANCIAL,317.0530586879749,46.333333333333336,270.7197253546416,584.2871770244063
PORTFOLIO RECOVERY ASSOCIATES INC,224.227602952069,26.666666666666668,197.56093628540233,740.8535110702587
AMERICAN EXPRESS COMPANY,195.19589594250826,33.0,162.19589594250826,491.5027149772977
PNC Bank N.A.,16.966091912916127,21.333333333333332,-4.367241420417205,-20.47144415820565
DISCOVER BANK,-18.122457983877425,22.666666666666668,-40.789124650544096,-179.9520205171063
Ditech Financial LLC,-28.577948680993416,13.333333333333334,-41.91128201432675,-314.3346151074506
U.S. BANCORP,-51.6050108423093,18.0,-69.6050108423093,-386.6945046794961
ENCORE CAPITAL GROUP INC.,-63.86952471242101,21.666666666666668,-85.53619137908768,-394.78242174963543
JPMORGAN CHASE & CO.,-3.362490655719151,101.66666666666667,-105.02915732238583,-103.3073678580844
NATIONSTAR MORTGAGE,-83.23539463886854,27.666666666666668,-110.90206130553521,-400.8508239959104
"CITIBANK, N.A.",-79.93809827989271,76.33333333333333,-156.27143161322604,-204.72239949330927
OCWEN LOAN SERVICING LLC,-222.91774506156517,16.333333333333332,-239.2510783948985,-1464.802520785093
WELLS FARGO & COMPANY,-230.5009083299961,82.0,-312.5009083299961,-381.09866869511717
"EQUIFAX, INC.",38.78988335136641,410.0,-371.2101166486336,-90.53905284113014
"Navient Solutions, LLC.",-671.6231683748099,56.666666666666664,-728.2898350414765,-1285.217355955547
"BANK OF AMERICA, NATIONAL ASSOCIATION",-1278.430012214127,64.0,-1342.430012214127,-2097.5468940845735
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",-2388.469059207534,371.3333333333333,-2759.8023925408675,-743.2142888350631
